title,manufacturer,model,year,condition,functionality,price,currency,location,country,dimensions,weight,electrical,description,seller_name,seller_verified,listing_id,category,detail_url,image_url,last_updated
Prozessanlage Fritsch D219,Fritsch,D219,2020,gut (gebraucht),voll funktionsfähig,6.029,EUR,"Nürnberg, Deutschland",Deutschland,2119 x 481 x 1126 mm,65 kg,,Prozessanlage Fritsch D219 - Fritsch D219. Diese Maschine ist in gut (gebraucht)em Zustand und wurde regelmäßig gewartet. Maschine kann vor Ort besichtigt werden.,Alpine Technik AG,No,80894129,Separatoren für Lebensmittel,https://www.maschinensucher.de/fritsch-d219/i-80894129,https://cdn.machineseeker.com/img/listings/80894129/1.jpg,24.04.2026
Schneidemaschine Fagor K7047,Fagor,K7047,2024,sehr gut (gebraucht),funktionsfähig,22.238,EUR,"Kopenhagen, Dänemark",Dänemark,3757 x 2431 x 2339 mm,2470 kg,Spannung: 230V 60Hz; Leistung: 0.75 kW,Wir bieten eine Schneidemaschine Fagor K7047 der Marke Fagor (Modell: K7047) an. Zustand: sehr gut (gebraucht). Alle Funktionen geprüft.,ProMach Handels GmbH,No,56973908,Küchentechnik,https://www.maschinensucher.de/fagor-k7047/i-56973908,https://cdn.machineseeker.com/img/listings/56973908/1.jpg,17.02.2026
Kartonierer Bosch H-9339E,Bosch,H-9339E,1997,gut (gebraucht),voll funktionsfähig,1.664,EUR,"Mailand, Italien",Italien,,3932 kg,Spannung: 380V 60Hz; Leistung: 0.75 kW,Bosch H-9339E - Kartonierer Bosch H-9339E. Kategorie: Verpackungsmaschinen. Zustand: gut (gebraucht). Sofort verfügbar ab Lager.,IndustriePark Nord,No,3081748,Verpackungsmaschinen,https://www.maschinensucher.de/bosch-h-9339e/i-3081748,https://cdn.machineseeker.com/img/listings/3081748/1.jpg,27.10.2025
Bandfilter Andritz K6529HD,Andritz,K6529HD,2022,sehr gut (gebraucht),funktionsfähig,8.725,EUR,"Hannover, Deutschland",Deutschland,,,Spannung: 220V 60Hz,Bandfilter Andritz K6529HD von Andritz. Modell K6529HD. Zustand: sehr gut (gebraucht). Maschine ist einsatzbereit und kann sofort geliefert werden.,Dietrich Industrieanlagen,No,67440882,Filter (Lebensmitteltechnik),https://www.maschinensucher.de/andritz-k6529hd/i-67440882,https://cdn.machineseeker.com/img/listings/67440882/1.jpg,21.03.2026
Kühltunnel Bühler R8888-S,Bühler,R8888-S,1996,gebraucht,funktionsfähig,56.723,EUR,"Hannover, Deutschland",Deutschland,,3422 kg,Spannung: 400V 60Hz; Leistung: 0.75 kW,Kühltunnel Bühler R8888-S von Bühler. Modell R8888-S. Zustand: gebraucht. Maschine ist einsatzbereit und kann sofort geliefert werden. Ersatzteile verfügbar.,Technik Bauer AG,Yes,3281799,Kühlanlagen für Lebensmittel,https://www.maschinensucher.de/bühler-r8888-s/i-3281799,https://cdn.machineseeker.com/img/listings/3281799/1.jpg,06.05.2025
Prozessanlage Franz Haas V8520-S,Franz Haas,V8520-S,2026,gut (gebraucht),voll funktionsfähig,97.814,EUR,"Lyon, Frankreich",Frankreich,4083 x 1204 x 3351 mm,4426 kg,Spannung: 380V 60Hz; Leistung: 1.5 kW,Prozessanlage Franz Haas V8520-S von Franz Haas. Modell V8520-S. Zustand: gut (gebraucht). Maschine ist einsatzbereit und kann sofort geliefert werden.,Anlagen Center Berlin,No,27832635,Sonstige Lebensmitteltechnik,https://www.maschinensucher.de/franz+haas-v8520-s/i-27832635,https://cdn.machineseeker.com/img/listings/27832635/1.jpg,23.08.2024
Verarbeitungsanlage Rademaker C 5632-M,Rademaker,C 5632-M,2003,überholt,nicht geprüft,1.682,EUR,"Wien, Österreich",Österreich,,3043 kg,Spannung: 480V 60Hz,Zu verkaufen: Verarbeitungsanlage Rademaker C 5632-M (Rademaker C 5632-M). Die Maschine befindet sich in überholtem Zustand. Besichtigung nach Vereinbarung möglich.,Techno-Food Systems,Yes,45632261,Sonstige Lebensmitteltechnik,https://www.maschinensucher.de/rademaker-c+5632-m/i-45632261,https://cdn.machineseeker.com/img/listings/45632261/1.jpg,06.07.2025
Verarbeitungsanlage Lödige M 6804E,Lödige,M 6804E,2010,gut (gebraucht),voll funktionsfähig,104.295,EUR,"Hamburg, Deutschland",Deutschland,,646 kg,Spannung: 480V 60Hz; Leistung: 0.75 kW,Lödige M 6804E - Verarbeitungsanlage Lödige M 6804E. Kategorie: Lagerung & Handhabung. Zustand: gut (gebraucht). Sofort verfügbar ab Lager. Inklusive Dokumentation und Bedienungsanleitung.,Deutsche Industriemaschinen,No,68828942,Lagerung & Handhabung,https://www.maschinensucher.de/lödige-m+6804e/i-68828942,https://cdn.machineseeker.com/img/listings/68828942/1.jpg,05.01.2025
Verschließer Krones 7594Plus,Krones,7594Plus,2026,gut (gebraucht),funktionsfähig,133.517,EUR,"Stockholm, Schweden",Schweden,,48 kg,Spannung: 230V 50Hz; Leistung: 2.2 kW,Krones Typ 7594Plus. Verschließer Krones 7594Plus. Die Anlage wurde professionell gewartet und befindet sich in einem sehr guten Zustand.,ProcessTech Europe,No,5594322,Getränkemaschinen,https://www.maschinensucher.de/krones-7594plus/i-5594322,https://cdn.machineseeker.com/img/listings/5594322/1.jpg,09.03.2025
Prozessanlage Zeppelin 5621-S,Zeppelin,5621-S,2013,gut (gebraucht),nicht geprüft,9.566,EUR,"Wien, Österreich",Österreich,662 x 1742 x 1080 mm,22 kg,Spannung: 400V 50Hz; Leistung: 75 kW,Prozessanlage Zeppelin 5621-S - Zeppelin 5621-S. Diese Maschine ist in gut (gebraucht)em Zustand und wurde regelmäßig gewartet.,Ost-Technik Vertrieb,Yes,71505647,Pastamaschinen,https://www.maschinensucher.de/zeppelin-5621-s/i-71505647,https://cdn.machineseeker.com/img/listings/71505647/1.jpg,24.05.2025
